,id_nuts,area,lat,lon
599,DEC01,0.051,49.25906,6.95863
600,DEC02,0.068,49.51722,6.64212
601,DEC03,0.027,49.38677,7.10943
602,DEC04,0.062,49.37986,6.77736
603,DEC05,0.054,49.27097,7.24891
604,DEC06,0.06,49.52687,7.07798
605,DED21,0.022,51.10047,13.77069
606,DED2C,0.338,51.27577,14.22967
607,DED2D,0.248,51.22294,14.74849
608,DED2E,0.166,51.24375,13.49812
609,DED2F,0.214,50.93335,13.89108
610,DED41,0.01,50.82103,12.8773
611,DED42,0.248,50.59981,12.94963
612,DED43,0.326,50.9502,13.15026
613,DED44,0.162,50.492,12.23296
614,DED45,0.118,50.75846,12.5301
615,DED51,0.011,51.38379,12.40439
616,DED52,0.217,51.21936,12.56968
617,DED53,0.257,51.46478,12.76166
618,DEE01,0.024,51.82867,12.24605
619,DEE02,0.01,51.48769,11.95923
620,DEE03,0.009,52.10086,11.70149
621,DEE04,0.283,52.696,11.22275
622,DEE05,0.196,51.79134,12.14418
623,DEE06,0.202,52.23954,12.03773
624,DEE07,0.349,52.22827,11.35491
625,DEE08,0.204,51.14998,11.88375
626,DEE09,0.259,51.8376,10.95859
627,DEE0A,0.203,51.54401,11.31282
628,DEE0B,0.2,51.43728,11.85896
629,DEE0C,0.176,51.85155,11.66847
630,DEE0D,0.358,52.69235,11.85253
631,DEE0E,0.257,51.82065,12.68619
632,FR513,0.616,48.17518,-0.63844
633,FR514,0.73,48.01542,0.22326
634,FR515,0.761,46.66519,-1.30235
635,FR521,0.795,48.4301,-2.872
636,FR522,0.667,48.24719,-4.01632
637,FR523,0.845,48.13495,-1.61195
638,FR524,0.798,47.86849,-2.78516
639,FR531,0.651,45.71406,0.16091
640,FR532,0.754,45.76476,-0.66301
641,FR533,0.704,46.5452,-0.32355
642,FR534,0.821,46.55567,0.46099
643,FR611,1.074,45.11642,0.72829
644,FR612,1.183,44.81329,-0.60278
645,FR613,1.018,43.95813,-0.78646
646,FR614,0.639,44.37807,0.46294
647,FR615,0.874,43.26714,-0.7642
648,FR621,0.611,42.90494,1.53731
